GMOY009457	815	7	808
GMOY012754	0	0	0
GMOY012866	0	0	0
GMOY009458	3	0	3
GMOY009459	17	0	17
GMOY009460	266	27	239
GMOY009461	490	4	486
GMOY009462	224	4	220
GMOY009463	436	429	7
GMOY009464	81	3	78
GMOY009465	141	2	139
GMOY009466	4	0	4
GMOY009467	74	256	51
GMOY009468	0	2	231
GMOY009469	89	0	89
GMOY009470	1036	8	1028
GMOY009471	39	2	37
GMOY009472	105	1	104
GMOY009473	152	2	150
GMOY009474	104	3	101
GMOY013231	6	0	6
GMOY012193	0	0	0
GMOY009475	22	0	22
GMOY009476	537	20	517
GMOY009477	21	0	21
GMOY009478	1	0	1
GMOY009479	0	0	0
GMOY009480	0	0	0
GMOY009481	0	0	0
GMOY009482	0	0	0
GMOY009483	371	4	367
GMOY009484	379	76	378
GMOY009485	0	3	72
GMOY009486	209	5	204
GMOY009487	140	1	139
GMOY009488	47	0	47
GMOY009489	658	5	653
GMOY009490	275	3	272
GMOY009491	673	8	665
GMOY009492	461	14	447
GMOY009493	519	19	500
GMOY009494	37	4	33
GMOY009495	81	37	44
GMOY009496	14	4	18
GMOY012194	3	6	5
GMOY009497	207	7	200
GMOY009498	170	3	177
GMOY009499	108	9	109
GMOY009500	323	101	320
GMOY012991	99	23	174
GMOY009501	176	2	174
GMOY009502	1806	30	1776
GMOY009503	148	3	159
GMOY009504	336	20	330
GMOY009505	659	12	647
GMOY009506	17	0	17
GMOY009507	115	0	116
GMOY009508	1	2	0
GMOY009509	1207	11	1196
GMOY009510	430	0	430
GMOY009511	166	1	165
GMOY009512	3	0	3
GMOY009513	4	4	0
GMOY009514	2	2	0
GMOY009515	85	81	89
GMOY009516	0	4	81
GMOY012992	198	5	193
GMOY009517	485	6	479
GMOY009518	132	3	129
GMOY009519	372	6	366
GMOY009520	228	2	226
GMOY009521	171	2	169
GMOY009522	1397	18	1379
GMOY009523	108	12	96
GMOY009524	0	0	0
GMOY009525	46	1	45
GMOY009526	0	0	0
GMOY009527	277	2	275
GMOY009528	216	140	213
GMOY009529	0	3	134
GMOY009531	472	8	464
GMOY009532	7	2	5
GMOY009530	312	0	312
GMOY009533	49	0	49
GMOY009534	1221	25	1196
GMOY009535	727	7	720
GMOY009536	645	14	631
GMOY009537	178	1	177
GMOY009538	1	0	1
GMOY009539	2846	123	2723
GMOY009540	540	15	525
GMOY009541	270	4	266
GMOY009542	0	0	0
GMOY009543	176	3	173
GMOY009544	60	2	58
GMOY009545	0	0	0
GMOY009546	314	4	310
GMOY009547	0	0	0
GMOY009548	0	0	0
GMOY009549	126	5	121
GMOY009550	2	0	2
GMOY009551	0	0	0
GMOY009552	0	0	0
GMOY009553	7	0	7
